epoch,train_loss,train_acc,val_loss,val_acc
1,3.845531,0.066700,3.616778,0.095000
2,3.507534,0.133900,3.471148,0.135600
3,3.190246,0.227400,3.221870,0.189000
4,2.753456,0.348600,3.125309,0.219200
5,2.098280,0.578800,3.008824,0.245800
6,1.398998,0.856100,3.025689,0.250200
7,1.053854,0.970000,2.946998,0.263400
8,0.952838,0.992400,2.966893,0.258800
