epoch,train_loss,train_acc,val_loss,val_acc
1,3.739682,0.084200,3.506942,0.121000
2,3.384956,0.169400,3.321230,0.162200
3,3.046848,0.260900,3.076104,0.225800
4,2.633601,0.394000,3.021497,0.244800
5,2.099791,0.603700,2.949243,0.254800
6,1.605479,0.800200,2.789252,0.290800
7,1.312904,0.913600,2.718048,0.316600
8,1.196167,0.950700,2.710386,0.318600
