epoch,train_loss,train_acc,val_loss,val_acc
1,3.217245,0.241100,2.370928,0.398200
2,1.895979,0.667300,1.869438,0.527600
3,1.138790,0.937300,1.712698,0.574400
4,0.855897,0.998900,1.721442,0.592400
5,0.800773,1.000000,1.750117,0.593200
6,0.783465,1.000000,1.777067,0.592400
7,0.775777,1.000000,1.788638,0.593000
8,0.772385,1.000000,1.785997,0.594000
