epoch,train_loss,train_acc,val_loss,val_acc
1,4.133340,0.032000,4.145105,0.047800
2,3.800399,0.073000,3.722806,0.092200
3,3.644327,0.099900,3.947803,0.109000
4,3.487415,0.138500,3.651779,0.142600
5,3.315643,0.185100,3.453112,0.165200
6,3.104600,0.238900,3.291550,0.195800
7,2.866655,0.305100,3.145033,0.227200
8,2.688319,0.368900,3.124284,0.245800
