epoch,train_loss,train_acc,val_loss,val_acc
1,3.761873,0.078200,3.511773,0.121400
2,3.418332,0.157900,3.366166,0.162600
3,3.076474,0.252600,3.168282,0.195400
4,2.647108,0.390700,3.015420,0.228400
5,2.132194,0.589900,2.914958,0.268800
6,1.645380,0.779800,2.753548,0.296800
7,1.344503,0.901100,2.713625,0.311200
8,1.218623,0.946700,2.691357,0.317600
