epoch,train_loss,train_acc,val_loss,val_acc
1,3.755650,0.078900,3.507472,0.115600
2,3.385585,0.175000,3.347943,0.142200
3,3.041304,0.268600,3.156337,0.190800
4,2.605651,0.402500,2.966402,0.237200
5,2.043156,0.620200,2.894220,0.264600
6,1.555703,0.818300,2.796472,0.280800
7,1.268182,0.926600,2.771461,0.290600
8,1.168957,0.955600,2.750419,0.296000
